Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	Params[7]	Params[8]	Params[9]	Params[10]	Params[11]	Params[12]	Params[13]	Params[14]	Params[15]	Params[16]	Params[17]	Params[18]	Params[19]	Params[20]	Params[21]	Params[22]	Params[23]	Params[24]	Params[25]
1	1		101			AniZhuanchangEnd				Assets/Product/Texture/Image/BgStory/Bgstory226.png																								
2	2		401							1	202																							
3	3		201							1	1031001					1																		
4	4		301							1	Liv	...	1																					
5	5		301								Liv	So, the ARU used the refugees that survived the riots as test subjects for humanoid-hybrid modification experiments.	1																					
6	6		301									Liv's tightly clasped hands trembled slightly.																						
7	7		201							1	500026					1																		
8	8		301							1	Lee	Not to mention, they concealed the truth under the guise of normal Construct modifications given to seriously ill refugees that signed up voluntarily.	1																					
9	9		201							1	1031001					1																		
10	10		301							1	Liv	What a... cruel... heartless thing to do...	1																					
11	11		301								Liv	Whether it was Amberia or any of the others... They just wanted to live.	1																					
12	12		201							1	500026					1																		
13	13		301							1	Lee	...	1																					
14	14		201							1	500166					1																		
15	15		301							1	Lucia	...This is an unforgivable crime.	1																					
16	16		301		1		AniZhuanchangBegin				Lucia	Continue onwards, Commandant.	1																					
