PoolId	Name	Description	BtnName	EventId1[1]	EventId1[2]	EventId2[1]	EventId2[2]	EventId3[1]	EventId3[2]
10001	Schrodinger's Maze	In front of you is an unknown region shrouded by black mist. Neither the terrain radar nor the scanning sensor could detect any information. Forces were deployed to explore the region, but each time they came back with a different map, as if the maze could alter its form based on the explorers. Stepping inside is the only way to learn more about it.	Enter	4		5		6	
10002	Theseus' Maze	In front of you is an unknown region shrouded by black mist. The terrain radar and the scanning sensor give largely different results. Perhaps a construction Construct has been modifying its structure, or maybe a terrain-changing function is built within.	Enter	7		8		9	
10003	Ignosticism Maze	In front of you is an unknown region shrouded by black mist. The terrain radar and the scanning sensor have returned some information, but according to the exploration forces previously deployed, the shortest paths marked on the map usually led to a dead end.	Enter	10		11			
10004	Cleansing Container	An unstable cleansing container with signs of Punishing corruption on its pipes and pump. The user interface is still working, and the cleansing fluids are proven to be functional. No one knows how long it can remain "functional", but it won't harm to give yourself a clean if you have touched something troublesome.	Activate the cleansing program	12		13		14	
10005	Faulty Assembly Line	The connecting rods and belts are significantly worn out on this assembly line. It could still produce supplies if you put the materials in, but don't give it too much hope.	Connect the power	15		16		17	
10006	Strange Assembly Line	An assembly line that is on the brink of overloading. The energy pipes are significantly corroded and the user interface is filled with warning messages. It could still produce supplies if you put the materials in, but don't give it too much hope.	Connect the power	18		19		20	
10007	Rusty Assembly Line	You have no idea why the gears on this rusty assembly line are still running. It could still produce supplies if you put the materials in, but don't give it too much hope. You may end up losing some parts if the broken parts hit you.	Connect the power	21		22		23	
10008	Damaged Assembly Line	This assembly line was hit by shrapnel and the main axle is only barely connected to the gear sets. It could still produce supplies if you put the materials in, but don't give it too much hope. You may end up losing some parts if the broken parts hit you.	Connect the power	24		25		26	
10009	Underpowered Assembly Line	The user interface on this assembly line is blinking. It could still produce supplies if you put the materials in, but don't give it too much hope—maybe it will shut down again after you have waited for an hour.	Connect the power	27		28		29	
10010	Corrupted Remains	Somehow, you feel like this broken Corrupted body is still moving.	Investigate the remains	30		31		32	
10011	Corrupted Remains with Weird Pose	This broken Corrupted body is leaning on the corner with a weird pose. Somehow, you feel like it's still making sounds.	Investigate the remains	33		34		35	
10012	Spare Parts Box	A strange sign is laser-printed on this spare parts box in the corner. Sometimes, Corrupted are seen moving this box. Would you also find it useful?	Open the box	36		37		38	
10013	Maintenance Terminal	"This shaky maintenance terminal looks like it needs some repairing itself. Better think twice before turning it on."	Turn on the terminal	39		40		41	
10014	Intact Supply Crate	Although not recycled, this supply crate is still intact under such poor condition. The quality of Babylonia's supplies is definitely top-notch.	Open the box	42		43		44	
10015	Damaged Supply Crate	This supply crate has a Babylonia sign printed on its cracking surface. It was probably left behind by another exploration team. 	Open the box	45		46		47	
10016	Strange Supply Crate	Supply crates like this have never been sighted in Babylonia. The patterns on the crate are badly worn out and cannot be identified.	Open the box	48		49		50	
10017	Supply Warehouse	A Babylonia identification device hangs on the door of this supply warehouse. It seems to be part of a deserted frontline base.	Open the gate	51		52			
10018	Production Line	A dated production line that seems to be significantly corrupted by Punishing Virus. No one knows what it was originally designed to produce. You can try putting some materials in, but don't give it too much hope. You may end up losing some parts if its broken parts hit you.	Connect the power	53		54		55	
10019	Maintenance Tunnel	The entrance to the maintenance tunnel is open. It may be a shortcut, but it does look suspicious.	Explore the tunnel	56		57		58	
10020	Spare Parts	No one knows what they will find after putting their hand into this pile of spare parts.	Search	59		60		61	
10021	Spare Parts	No one knows what they will find after putting their hand into this pile of spare parts.	Search	62		63		64	
10022	Spare Parts	No one knows what they will find after putting their hand into this pile of spare parts.	Search	65		66		67	
10023	Damaged Assembly Line	This assembly line was hit by shrapnel and the main axle is only barely connected to the gear sets. It could still produce supplies if you put the materials in, but don't give it too much hope. You may end up losing some parts if the broken parts hit you.	Connect the power	175		176			
10024	Corrupted Remains	Somehow, you feel like this broken Corrupted body is still moving.	Investigate the remains	177		178			
20001	Heteromer Container	A container formed by Heteromers. Something seems to be wrapped inside. Whoever opens the structure will receive Punishing corruption. Would you share with someone, or face it alone?		68	69	70	71		
20002	Large Heteromer Container	A large container formed by Heteromers. Something seems to be wrapped inside. Whoever opens the structure will receive Punishing corruption. Would you share with someone, or face it alone?		72	73	74	75		
20003	Heteromer Structure	A structure formed by Heteromers. Something seems to be wrapped inside. Whoever opens the structure will receive Punishing corruption. Would you share with someone, or face it alone?		76	77	78	79		
20004	Terminal of Greed - S	A small terminal corrupted by Punishing Virus. It may return different things based on the amount of materials consumed.		80	81	82	83	84	85
20005	Terminal of Greed - M	A medium terminal corrupted by Punishing Virus. It may return different things based on the amount of materials consumed.		86	87	88	89	90	91
20006	Bait Trap	A poorly made and carelessly deployed bait trap. Whoever gets hurt by this probably does not want anyone else to know.		92	93	94	95		
20007	Quality Bait Trap	This bait trap is carefully assembled and properly set up. One can easily get injured if they don't pay extra attention while walking.		96	97	98	99		
20008	Passionate Service Station	A service station corrupted by Punishing Virus. The AI has gone haywire and keeps boasting its service standards. It might be still functional for repairs, but one must carefully consider which service to choose.		100	101	102	103		
20009	Hungry Assembly Line	Corrupted by Punishing Virus, this assembly line is still running and trembling without raw materials. What if you put some materials in...?		104	105	106	107	108	109
20010	Mean Supply Robot	Punishing Virus seems to have influenced the characteristics of this rude supply robot. It gives different reactions based on the item you hand out.		110	111	112	113	114	115
20011	Mean Supply Robot	Punishing Virus seems to have influenced the characteristics of this rude supply robot. It gives different reactions based on the item you hand out.		116	117	118	119	120	121
20012	Mean Supply Robot	Punishing Virus seems to have influenced the characteristics of this rude supply robot. It gives different reactions based on the item you hand out.		122	123	124	125	126	127
20013	Fluid Ravager	The corruption seems to have turned the injection terminal into a blood-draining terminal. Something may happen if you let it collect some vital fluids...		128	129	130	131	132	133
